pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,election_year,state,overlapping_special_election,dem_actual,rep_actual,other_actual,rep_won
Fairleigh Dickinson,2006/09/14,2006/09/19,6510,RV,23,63,,2006,delaware,,70.2002699899577,28.7004263865795,1.09930362346279,0
Fairleigh Dickinson,2006/10/18,2006/10/24,5020,LV,26,60,,2006,delaware,,70.2002699899577,28.7004263865795,1.09930362346279,0
Rasmussen,2006/10/31,2006/10/31,5000,LV,45,50,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Mason-Dixon,2006/11/01,2006/11/03,6250,LV,44,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/11/03,2006/11/05,6630,LV,46,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/04/11,2005/04/13,10000,LV,37,41,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2005/07/18,2005/07/18,5000,LV,40,45,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2005/10/17,2005/10/21,8150,RV,38,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/10/27,2005/11/01,10080,LV,32,43,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2005/11/16,2005/11/16,5000,LV,41,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/01/10,2006/01/10,5000,LV,45,40,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/02/19,2006/02/19,5000,LV,35,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/04/04,2006/04/13,8190,RV,35,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/04/18,2006/04/18,5000,LV,35,45,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Washington Post,2006/06/19,2006/06/25,9020,RV,40,52,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2006/07/06,2006/07/10,12000,LV,36,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/07/10,2006/07/10,5000,LV,41,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Pub Op Str (R),2006/08/01,2006/08/02,5000,RV,35,43,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/08/09,2006/08/09,5000,LV,42,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/08/18,2006/08/25,6250,LV,39,44,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive*,2006/08/29,2006/09/05,,,40,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/09/13,2006/09/13,5000,LV,43,50,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2006/09/15,2006/09/18,8150,LV,40,51,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/09/17,2006/09/19,5220,LV,48,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive*,2006/09/19,2006/09/25,,,39,52,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Mason-Dixon,2006/09/22,2006/09/26,6250,LV,41,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
VC Research (R),2006/09/27,2006/09/28,6020,LV,39,44,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
USA Today/Gallup,2006/09/27,2006/10/01,6780,LV,39,54,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Reuters/Zogby,2006/09/25,2006/10/02,6000,LV,37,45,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Pub Op Str (R),2006/10/02,2006/10/04,8000,RV,43,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/10/10,2006/10/10,5000,LV,44,53,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive *,2006/10/10,2006/10/16,6640,LV,43,51,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/10/15,2006/10/17,6980,LV,46,46,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
VC Research (R),2006/10/22,2006/10/23,6020,LV,39,41,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Garin Hart Yang (D),2006/10/23,2006/10/24,,LV,40,52,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Washington Post,2006/10/22,2006/10/26,10030,LV,43,54,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/10/26,2006/10/26,5000,LV,45,50,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,44,53,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Baltimore Sun,2006/10/28,2006/10/30,8000,LV,43,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Reuters/Zogby,2006/10/24,2006/10/31,6000,LV,44,49,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/10/31,2006/11/02,6940,LV,47,47,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Pub Op Str (R),2006/08/01,2006/08/02,5000,RV,,10,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/08/18,2006/08/25,6250,LV,,6,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/09/08,2006/09/10,4240,LV,,8,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/04/11,2005/04/13,10000,LV,,16,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/10/27,2005/11/01,10080,LV,,4,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Garin Hart Yang (D),2006/04/03,2006/04/06,5050,LDV,,4,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/04/04,2006/04/13,4230,LDV,,8,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Washington Post,2006/06/19,2006/06/25,4940,RDV,,10,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2006/07/06,2006/07/10,6040,LDV,,4,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/08/28,2006/08/30,5100,LV,,8,,2006,maryland,,54.2055954083314,44.1954277571823,1.59897683448625,0
USA Today/Gallup,2006/11/01,2006/11/04,8740,LV,41,50,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Reuters/Zogby,2006/10/24,2006/10/31,6000,LV,46,47,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/10/31,2006/11/02,6250,LV,47,47,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/11/04,2006/11/04,5000,LV,48,50,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2005/12/13,2005/12/15,6250,RV,49,36,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2005/05/23,2005/05/25,6250,LV,50,26,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/01/09,2006/01/09,5000,LV,45,45,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2005/09/08,2005/09/08,5000,LV,51,38,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/05/11,2006/05/11,5000,LV,44,48,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/02/07,2006/02/07,5000,LV,46,46,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/03/14,2006/03/14,5000,LV,43,46,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/04/11,2006/04/11,5000,LV,47,44,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/08/08,2006/08/08,5000,LV,47,47,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Ayres McHenry (R),2006/04/25,2006/04/27,6000,,42,48,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/09/20,2006/09/20,5000,LV,43,50,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/05/22,2006/05/24,6250,LV,42,45,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/09/12,2006/09/12,5000,LV,43,52,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Lake Research (D),2006/08/08,2006/08/10,6000,LV,37,44,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Reuters/Zogby,2006/09/25,2006/10/02,6070,LV,42,46,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/10/18,2006/10/18,5000,LV,46,49,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
USA Today/Gallup,2006/08/23,2006/08/27,6410,LV,45,48,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/09/26,2006/09/28,6250,LV,40,47,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/10/11,2006/10/11,5000,LV,44,50,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/10/17,2006/10/19,6250,LV,43,46,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/10/26,2006/10/26,5000,LV,48,51,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Harstad Strategic Res. (D),2006/10/24,2006/10/25,6620,LV,42,48,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/11/01,2006/11/01,5000,LV,46,50,,2006,montana,,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/09/06,2006/09/06,5000,LV,50,41,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Research 2000,2006/09/05,2006/09/07,6000,LV,56,35,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Zogby Interactive*,2006/10/10,2006/10/16,5470,LV,52,43,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Mason-Dixon,2006/09/19,2006/09/21,6250,LV,58,35,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Zogby Interactive*,2006/09/19,2006/09/25,,,49,42,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Research 2000,2006/10/23,2006/10/25,6000,LV,55,41,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Rasmussen,2006/10/17,2006/10/17,5000,LV,52,43,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Zogby Interactive*,2006/10/23,2006/10/27,,LV,58,37,,2006,nevada,,40.989954889696,55.3581359900579,3.65190912024608,1
Rasmussen,2006/11/01,2006/11/01,5000,LV,43,48,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Mason-Dixon,2006/11/01,2006/11/03,6250,LV,41,48,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Marist,2006/11/01,2006/11/03,6190,LV,42,50,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/11/01,2006/11/03,10860,LV,42,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
USA Today/Gallup,2006/11/01,2006/11/04,8770,LV,40,50,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/30,2006/11/05,9170,LV,43,48,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2005/11/16,2005/11/20,11110,RV,39,41,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2005/12/07,2005/12/07,5000,LV,34,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2005/12/10,2005/12/13,6890,RV,38,44,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/01/03,2006/01/10,7070,RV,36,25,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/01/18,2006/01/18,5000,LV,42,35,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/01/18,2006/01/23,9610,RV,36,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/02/03,2006/02/05,8000,LV,33,28,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby,2006/02/08,2006/02/10,8020,LV,32,37,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/02/14,2006/02/14,5000,LV,36,39,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/02/27,2006/03/06,6010,RV,37,42,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/03/06,2006/03/08,8000,LV,32,30,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/03/08,2006/03/14,11470,RV,36,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/03/28,2006/03/28,5000,LV,41,39,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton Poll,2006/03/26,2006/03/30,6760,RV,35,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/03/27,2006/04/02,6850,RV,42,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/04/07,2006/04/09,8000,LV,34,32,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/04/11,2006/04/11,5000,LV,43,36,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/04/18,2006/04/24,14140,RV,34,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/05/12,2006/05/14,8000,LV,35,35,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/05/16,2006/05/16,5000,LV,40,37,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/06/07,2006/06/13,10990,RV,36,43,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/06/16,2006/06/18,8000,LV,36,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton Poll,2006/06/14,2006/06/19,6990,RV,38,42,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/06/21,2006/06/21,5000,LV,40,46,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/07/07,2006/07/09,8000,LV,37,43,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/07/08,2006/07/12,9850,RV,40,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/07/11,2006/07/13,8020,A,37,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/07/10,2006/07/16,6750,RV,40,43,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/07/25,2006/07/25,5000,LV,38,44,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
POS (R),2006/07/31,2006/08/02,5000,LV,39,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/08/11,2006/08/13,8000,LV,40,42,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/08/15,2006/08/21,7150,LV,41,43,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/08/21,2006/08/27,6510,RV,43,39,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/08/28,2006/08/28,5000,LV,44,39,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/08/29,2006/09/05,7610,LV,40,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/09/08,2006/09/10,8000,LV,44,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/09/13,2006/09/18,6880,LV,48,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/09/18,2006/09/21,3910,LV,44,38,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/09/22,2006/09/22,5000,LV,41,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/09/19,2006/09/25,,,41,47,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton,2006/09/24,2006/09/26,4040,LV,44,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Mason-Dixon,2006/09/24,2006/09/27,6250,LV,41,44,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Marist,2006/09/28,2006/09/28,4600,RV,42,37,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
USA Today/Gallup,2006/09/27,2006/10/01,5420,LV,43,46,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/09/29,2006/10/01,8000,LV,46,41,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Reuters/Zogby,2006/09/25,2006/10/02,6000,LV,35,46,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/09/27,2006/10/02,5140,LV,39,46,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/04,2006/10/10,7610,LV,45,49,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/10/11,2006/10/11,5000,LV,40,44,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive *,2006/10/10,2006/10/16,9020,LV,47,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/10/16,2006/10/19,3960,LV,39,48,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Mason-Dixon,2006/10/18,2006/10/21,6250,LV,42,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
LA Times/Bloomberg,2006/10/20,2006/10/23,3140,LV,41,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
CBS News/NY Times,2006/10/20,2006/10/25,5220,LV,39,40,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Research 2000,2006/10/23,2006/10/25,6000,LV,42,48,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
"Bennett, Petts (D)",2006/10/23,2006/10/25,8000,RV,36,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/10/25,2006/10/25,5000,LV,45,45,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,43,49,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/10/28,2006/10/28,5000,LV,44,49,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/23,2006/10/29,8870,LV,44,49,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
CNN,2006/10/26,2006/10/29,5770,LV,44,51,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/10/27,2006/10/29,8000,LV,42,43,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Reuters/Zogby,2006/10/24,2006/10/31,6000,LV,37,49,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/10/25,2006/10/31,5770,LV,38,48,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton,2006/10/29,2006/10/31,5000,LV,42,46,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Pub Op Str (R),2006/10/31,2006/11/02,6000,LV,41,43,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/11/02,2006/11/04,8000,LV,42,49,,2006,new-jersey,,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/11,2006/10/16,10530,LV,30,65,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Marist,2006/10/30,2006/11/01,5030,LV,32,65,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Siena,2006/10/30,2006/11/01,5000,LV,28,65,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Siena,2006/09/13,2006/09/14,6250,LV,33,62,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Zogby Interactive*,2006/09/19,2006/09/25,,,31,55,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
CBS News/NY Times,2006/09/24,2006/09/27,7340,RV,27,59,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Quinnipiac,2006/09/26,2006/10/01,12630,LV,31,66,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Siena,2006/10/09,2006/10/12,6200,LV,32,59,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Zogby Interactive *,2006/10/10,2006/10/16,10080,LV,32,56,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Marist,2006/10/16,2006/10/18,4750,LV,30,67,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,33,57,,2006,new-york,,57.4163431640682,25.8029558578506,16.7807009780812,0
Mason-Dixon,2006/10/31,2006/11/02,6250,LV,44,50,,2006,ohio,,56.1641316906994,43.8152176184728,0.0206506908278,0
Univ. of Cinci,2006/11/01,2006/11/05,10740,LV,44,56,,2006,ohio,,56.1641316906994,43.8152176184728,0.0206506908278,0
